,Product ID,Quarter,Week,Date,Weekly Demand
0,21A,Q3 95,1,1995-07-01,215647601.1939021
1,21A,Q3 95,2,1995-07-08,215647601.1939021
2,21A,Q3 95,3,1995-07-15,215647601.1939021
3,21A,Q3 95,4,1995-07-22,215647601.1939021
4,21A,Q3 95,5,1995-07-29,215647601.1939021
5,21A,Q3 95,6,1995-08-05,215647601.1939021
6,21A,Q3 95,7,1995-08-12,215647601.1939021
7,21A,Q3 95,8,1995-08-19,215647601.1939021
8,21A,Q3 95,9,1995-08-26,235251928.57516593
9,21A,Q3 95,10,1995-09-02,392086547.62527657
10,21A,Q3 95,11,1995-09-09,392086547.62527657
11,21A,Q3 95,12,1995-09-16,588129821.4379148
12,21A,Q3 95,13,1995-09-23,588129821.4379148
13,21A,Q4 95,1,1995-10-01,267139977.72462004
14,21A,Q4 95,2,1995-10-08,267139977.72462004
15,21A,Q4 95,3,1995-10-15,267139977.72462004
16,21A,Q4 95,4,1995-10-22,267139977.72462004
17,21A,Q4 95,5,1995-10-29,267139977.72462004
18,21A,Q4 95,6,1995-11-05,267139977.72462004
19,21A,Q4 95,7,1995-11-12,267139977.72462004
20,21A,Q4 95,8,1995-11-19,267139977.72462004
21,21A,Q4 95,9,1995-11-26,291425430.24504
22,21A,Q4 95,10,1995-12-03,485709050.40840006
23,21A,Q4 95,11,1995-12-10,485709050.40840006
24,21A,Q4 95,12,1995-12-17,728563575.6126001
25,21A,Q4 95,13,1995-12-24,728563575.6126001
26,21A,Q1 96,1,1996-01-01,214231061.90284306
27,21A,Q1 96,2,1996-01-08,214231061.90284306
28,21A,Q1 96,3,1996-01-15,214231061.90284306
29,21A,Q1 96,4,1996-01-22,214231061.90284306
30,21A,Q1 96,5,1996-01-29,214231061.90284306
31,21A,Q1 96,6,1996-02-05,214231061.90284306
32,21A,Q1 96,7,1996-02-12,214231061.90284306
33,21A,Q1 96,8,1996-02-19,214231061.90284306
34,21A,Q1 96,9,1996-02-26,233706612.9849197
35,21A,Q1 96,10,1996-03-04,389511021.6415329
36,21A,Q1 96,11,1996-03-11,389511021.6415329
37,21A,Q1 96,12,1996-03-18,584266532.4622992
38,21A,Q1 96,13,1996-03-25,584266532.4622992
39,21A,Q2 96,1,1996-04-01,188220603.6326082
40,21A,Q2 96,2,1996-04-08,188220603.6326082
41,21A,Q2 96,3,1996-04-15,188220603.6326082
42,21A,Q2 96,4,1996-04-22,188220603.6326082
43,21A,Q2 96,5,1996-04-29,188220603.6326082
44,21A,Q2 96,6,1996-05-06,188220603.6326082
45,21A,Q2 96,7,1996-05-13,188220603.6326082
46,21A,Q2 96,8,1996-05-20,188220603.6326082
47,21A,Q2 96,9,1996-05-27,205331567.59920895
48,21A,Q2 96,10,1996-06-03,342219279.332015
49,21A,Q2 96,11,1996-06-10,342219279.332015
50,21A,Q2 96,12,1996-06-17,513328918.9980224
51,21A,Q2 96,13,1996-06-24,513328918.9980224
52,21A,Q3 96,1,1996-07-01,386544656.1977004
53,21A,Q3 96,2,1996-07-08,386544656.1977004
54,21A,Q3 96,3,1996-07-15,386544656.1977004
55,21A,Q3 96,4,1996-07-22,386544656.1977004
56,21A,Q3 96,5,1996-07-29,386544656.1977004
57,21A,Q3 96,6,1996-08-05,386544656.1977004
58,21A,Q3 96,7,1996-08-12,386544656.1977004
59,21A,Q3 96,8,1996-08-19,386544656.1977004
60,21A,Q3 96,9,1996-08-26,421685079.4884004
61,21A,Q3 96,10,1996-09-02,702808465.8140007
62,21A,Q3 96,11,1996-09-09,702808465.8140007
63,21A,Q3 96,12,1996-09-16,1054212698.721001
64,21A,Q3 96,13,1996-09-23,1054212698.721001
65,21A,Q4 96,1,1996-10-01,156747333.74300247
66,21A,Q4 96,2,1996-10-08,156747333.74300247
67,21A,Q4 96,3,1996-10-15,156747333.74300247
68,21A,Q4 96,4,1996-10-22,156747333.74300247
69,21A,Q4 96,5,1996-10-29,156747333.74300247
70,21A,Q4 96,6,1996-11-05,156747333.74300247
71,21A,Q4 96,7,1996-11-12,156747333.74300247
72,21A,Q4 96,8,1996-11-19,156747333.74300247
73,21A,Q4 96,9,1996-11-26,170997091.3560027
74,21A,Q4 96,10,1996-12-03,284995152.26000446
75,21A,Q4 96,11,1996-12-10,284995152.26000446
76,21A,Q4 96,12,1996-12-17,427492728.3900067
77,21A,Q4 96,13,1996-12-24,427492728.3900067
78,21A,Q1 97,1,1997-01-01,51948036.17033049
79,21A,Q1 97,2,1997-01-08,51948036.17033049
80,21A,Q1 97,3,1997-01-15,51948036.17033049
81,21A,Q1 97,4,1997-01-22,51948036.17033049
82,21A,Q1 97,5,1997-01-29,51948036.17033049
83,21A,Q1 97,6,1997-02-05,51948036.17033049
84,21A,Q1 97,7,1997-02-12,51948036.17033049
85,21A,Q1 97,8,1997-02-19,51948036.17033049
86,21A,Q1 97,9,1997-02-26,56670584.9130878
87,21A,Q1 97,10,1997-03-05,94450974.85514635
88,21A,Q1 97,11,1997-03-12,94450974.85514635
89,21A,Q1 97,12,1997-03-19,141676462.2827195
90,21A,Q1 97,13,1997-03-26,141676462.2827195
91,21A,Q2 97,1,1997-04-01,81713183.94972835
92,21A,Q2 97,2,1997-04-08,81713183.94972835
93,21A,Q2 97,3,1997-04-15,81713183.94972835
94,21A,Q2 97,4,1997-04-22,81713183.94972835
95,21A,Q2 97,5,1997-04-29,81713183.94972835
96,21A,Q2 97,6,1997-05-06,81713183.94972835
97,21A,Q2 97,7,1997-05-13,81713183.94972835
98,21A,Q2 97,8,1997-05-20,81713183.94972835
99,21A,Q2 97,9,1997-05-27,89141655.21788548
100,21A,Q2 97,10,1997-06-03,148569425.36314246
101,21A,Q2 97,11,1997-06-10,148569425.36314246
102,21A,Q2 97,12,1997-06-17,222854138.0447137
103,21A,Q2 97,13,1997-06-24,222854138.0447137
104,21A,Q3 97,1,1997-07-01,80890896.52609073
105,21A,Q3 97,2,1997-07-08,80890896.52609073
106,21A,Q3 97,3,1997-07-15,80890896.52609073
107,21A,Q3 97,4,1997-07-22,80890896.52609073
108,21A,Q3 97,5,1997-07-29,80890896.52609073
109,21A,Q3 97,6,1997-08-05,80890896.52609073
110,21A,Q3 97,7,1997-08-12,80890896.52609073
111,21A,Q3 97,8,1997-08-19,80890896.52609073
112,21A,Q3 97,9,1997-08-26,88244614.39209898
113,21A,Q3 97,10,1997-09-02,147074357.32016498
114,21A,Q3 97,11,1997-09-09,147074357.32016498
115,21A,Q3 97,12,1997-09-16,220611535.98024744
116,21A,Q3 97,13,1997-09-23,220611535.98024744
117,21A,Q4 97,1,1997-10-01,166226606.7168025
118,21A,Q4 97,2,1997-10-08,166226606.7168025
119,21A,Q4 97,3,1997-10-15,166226606.7168025
120,21A,Q4 97,4,1997-10-22,166226606.7168025
121,21A,Q4 97,5,1997-10-29,166226606.7168025
122,21A,Q4 97,6,1997-11-05,166226606.7168025
123,21A,Q4 97,7,1997-11-12,166226606.7168025
124,21A,Q4 97,8,1997-11-19,166226606.7168025
125,21A,Q4 97,9,1997-11-26,181338116.41832998
126,21A,Q4 97,10,1997-12-03,302230194.03055
127,21A,Q4 97,11,1997-12-10,302230194.03055
128,21A,Q4 97,12,1997-12-17,453345291.045825
129,21A,Q4 97,13,1997-12-24,453345291.045825
130,21A,Q1 98,1,1998-01-01,127276179.67286815
131,21A,Q1 98,2,1998-01-08,127276179.67286815
132,21A,Q1 98,3,1998-01-15,127276179.67286815
133,21A,Q1 98,4,1998-01-22,127276179.67286815
134,21A,Q1 98,5,1998-01-29,127276179.67286815
135,21A,Q1 98,6,1998-02-05,127276179.67286815
136,21A,Q1 98,7,1998-02-12,127276179.67286815
137,21A,Q1 98,8,1998-02-19,127276179.67286815
138,21A,Q1 98,9,1998-02-26,138846741.4613107
139,21A,Q1 98,10,1998-03-05,231411235.7688512
140,21A,Q1 98,11,1998-03-12,231411235.7688512
141,21A,Q1 98,12,1998-03-19,347116853.65327674
142,21A,Q1 98,13,1998-03-26,347116853.65327674
143,21A,Q2 98,1,1998-04-01,118327695.90705755
144,21A,Q2 98,2,1998-04-08,118327695.90705755
145,21A,Q2 98,3,1998-04-15,118327695.90705755
146,21A,Q2 98,4,1998-04-22,118327695.90705755
147,21A,Q2 98,5,1998-04-29,118327695.90705755
148,21A,Q2 98,6,1998-05-06,118327695.90705755
149,21A,Q2 98,7,1998-05-13,118327695.90705755
150,21A,Q2 98,8,1998-05-20,118327695.90705755
151,21A,Q2 98,9,1998-05-27,129084759.1713355
152,21A,Q2 98,10,1998-06-03,215141265.28555918
153,21A,Q2 98,11,1998-06-10,215141265.28555918
154,21A,Q2 98,12,1998-06-17,322711897.92833877
155,21A,Q2 98,13,1998-06-24,322711897.92833877
156,21A,Q3 98,1,1998-07-01,108004183.96816625
157,21A,Q3 98,2,1998-07-08,108004183.96816625
158,21A,Q3 98,3,1998-07-15,108004183.96816625
159,21A,Q3 98,4,1998-07-22,108004183.96816625
160,21A,Q3 98,5,1998-07-29,108004183.96816625
161,21A,Q3 98,6,1998-08-05,108004183.96816625
162,21A,Q3 98,7,1998-08-12,108004183.96816625
163,21A,Q3 98,8,1998-08-19,108004183.96816625
164,21A,Q3 98,9,1998-08-26,117822746.14709045
165,21A,Q3 98,10,1998-09-02,196371243.5784841
166,21A,Q3 98,11,1998-09-09,196371243.5784841
167,21A,Q3 98,12,1998-09-16,294556865.3677261
168,21A,Q3 98,13,1998-09-23,294556865.3677261
169,21A,Q4 98,1,1998-10-01,105654434.08144122
170,21A,Q4 98,2,1998-10-08,105654434.08144122
171,21A,Q4 98,3,1998-10-15,105654434.08144122
172,21A,Q4 98,4,1998-10-22,105654434.08144122
173,21A,Q4 98,5,1998-10-29,105654434.08144122
174,21A,Q4 98,6,1998-11-05,105654434.08144122
175,21A,Q4 98,7,1998-11-12,105654434.08144122
176,21A,Q4 98,8,1998-11-19,105654434.08144122
177,21A,Q4 98,9,1998-11-26,115259382.63429952
