Product ID,Attribute,Q2 95,Q3 95,Q4 95,Q1 96,Q2 96,Q3 96,Q4 96,Q1 97,Q2 97,Q3 97,Q4 97,Q1 98,Q2 98,Q3 98,Q4 98,Q1 99,Q2 99,Q3 99,Q4 99,Q1 00,Q2 00,Q3 00,Q4 00,Q1 01,Q2 01,Q3 01,Q4 01,Q1 02,Q2 02,Q3 02,Q4 02,Q1 03,Q2 03,Q3 03,Q4 03
21A,Yielded Supply,0,"3,380,628,048",,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
21A,Safety Stock Target,0,"679,992,671","545,315,430","479,106,991","983,931,852","398,993,213","132,231,365","207,997,196","205,904,100","423,122,272","323,975,730","301,197,771","274,919,741","268,938,559","384,197,942","206,875,815","627,716,745","972,001,279","491,940,394","365,608,832",,,,,,,,,,,,,,,
21A,Safety Stock Target (WOS),0,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
21A,EffectiveDemand,0,"3,920,865,476","4,857,090,504","3,895,110,216","3,422,192,793","7,028,084,658","2,849,951,523","944,509,749","1,485,694,254","1,470,743,573","3,022,301,940","2,314,112,358","2,151,412,653","1,963,712,436","1,920,989,711","2,744,271,015","1,477,684,393","4,483,691,039","6,942,866,279","3,513,859,960","2,611,491,657","1,540,401,888","3,641,157,689","2,129,799,840","3,999,136,982","3,229,493,114","4,841,253,891","2,799,733,837","3,108,651,811","2,338,729,679","5,089,378,170","5,928,392,971","1,690,158,851","2,434,860,447","2,751,263,430"
21A,Total Projected Inventory Balance,"141,337,199","-398,900,229","-5,255,990,733","-9,151,100,949","-12,573,293,743","-19,601,378,401","-22,451,329,923","-23,395,839,672","-24,881,533,926","-26,352,277,499","-29,374,579,439","-31,688,691,797","-33,840,104,450","-35,803,816,886","-37,724,806,596","-40,469,077,611","-41,946,762,004","-46,430,453,043","-53,373,319,322","-56,887,179,282",,,,,,,,,,,,,,,
21A,Inventory Balance in excess of SST,0,"-1,078,892,899","-5,801,306,163","-9,630,207,940","-13,557,225,595","-20,000,371,614","-22,583,561,288","-23,603,836,868","-25,087,438,026","-26,775,399,771","-29,698,555,169","-31,989,889,568","-34,115,024,191","-36,072,755,445","-38,109,004,538","-40,675,953,426","-42,574,478,749","-47,402,454,322","-53,865,259,716","-57,252,788,114",,,,,,,,,,,,,,,
22B,Yielded Supply,0,"1,694,268,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22B,Safety Stock Target,0,"283,186,617","396,739,587","213,027,450","228,154,867","272,551,315","235,712,127","228,618,627","203,069,712","169,041,931","145,858,376","37,348,231","29,466,118","20,702,459","20,702,459","11,147,478","243,750,504","143,890,645","287,263,934","204,151,490",,,,,,,,,,,,,,,
22B,Safety Stock Target (WOS),0,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
22B,EffectiveDemand,0,"1,541,047,872","2,358,376,698","2,312,831,674","1,241,864,059","2,660,101,592","1,588,864,169","1,479,807,074","1,332,754,328","1,183,814,463","2,956,338,712","850,295,467","217,725,116","171,775,577","120,686,980","172,409,971","92,836,138","2,029,952,952","1,198,320,556","2,392,332,570","1,700,172,564","2,558,729,191","679,981,194","1,235,318,519","1,051,986,719","2,280,317,814","1,716,153,959","1,043,557,130","2,144,985,258","1,892,232,865","813,031,055","1,963,865,830","1,631,591,332","803,641,152","899,379,883"
