Quarter,Product,Wafers
Q3 95,21A,5155.0
Q3 95,21A,5258.0
Q3 95,21A,5182.0
Q3 95,21A,4840.0
Q3 95,21A,4890.0
Q3 95,21A,4830.0
Q3 95,21A,4230.0
Q3 95,21A,4373.0
Q3 95,21A,4000.0
Q3 95,21A,4000.0
Q3 95,21A,4000.0
Q3 95,21A,4000.0
Q3 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4130.0
Q4 95,21A,4930.0
Q4 95,21A,4900.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q4 95,21A,4000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q1 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q2 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q3 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
Q4 96,21A,5000.0
