Product ID,Periodo,Tipo,Valor Demanda
21A,F1,Pronóstico,134182627.56113991
21A,F2,Pronóstico,135620379.8365123
21A,F3,Pronóstico,135620379.8365123
21A,F4,Pronóstico,135620379.8365123
21A,F5,Pronóstico,135620379.8365123
21A,F6,Pronóstico,135620379.8365123
21A,F7,Pronóstico,135620379.8365123
21A,F8,Pronóstico,138799528.975522
21A,F9,Pronóstico,173382698.38827303
21A,F10,Pronóstico,246582508.79365873
21A,F11,Pronóstico,278374000.183756
21A,F12,Pronóstico,369873763.19048804
21A,F13,Pronóstico,348902018.50548327
21A,F14,Pronóstico,111461266.16916287
21A,F15,Pronóstico,111461266.16916287
21A,F16,Pronóstico,111461266.16916287
21A,F17,Pronóstico,111461266.16916287
21A,F18,Pronóstico,111461266.16916287
21A,F19,Pronóstico,111461266.16916287
21A,F20,Pronóstico,111461266.16916287
21A,F21,Pronóstico,115570153.23356318
21A,F22,Pronóstico,154465205.06338012
21A,F23,Pronóstico,202656847.58029613
21A,F24,Pronóstico,243745718.22429916
21A,F25,Pronóstico,303985271.3704442
21A,F26,Pronóstico,225916417.1468384
22B,F1,Pronóstico,62301258.53933235
22B,F2,Pronóstico,69049235.34866196
22B,F3,Pronóstico,69049235.34866196
22B,F4,Pronóstico,69049235.34866196
22B,F5,Pronóstico,69049235.34866196
22B,F6,Pronóstico,69049235.34866196
22B,F7,Pronóstico,69049235.34866196
22B,F8,Pronóstico,70455246.01026665
22B,F9,Pronóstico,86574523.8550142
22B,F10,Pronóstico,125544064.27029446
22B,F11,Pronóstico,139604170.88634136
22B,F12,Pronóstico,188316096.40544167
22B,F13,Pronóstico,186994524.3996038
22B,F14,Pronóstico,56768552.42966399
22B,F15,Pronóstico,56768552.42966399
22B,F16,Pronóstico,56768552.42966399
22B,F17,Pronóstico,56768552.42966399
22B,F18,Pronóstico,56768552.42966399
22B,F19,Pronóstico,56768552.42966399
22B,F20,Pronóstico,56768552.42966399
22B,F21,Pronóstico,58328199.774650306
22B,F22,Pronóstico,74406508.68316029
22B,F23,Pronóstico,103215549.87211636
22B,F24,Pronóstico,118812023.32197943
22B,F25,Pronóstico,154823324.80817452
22B,F26,Pronóstico,125190025.25343467
23C,F1,Pronóstico,193440624.32419485
23C,F2,Pronóstico,210850808.42753884
23C,F3,Pronóstico,210850808.42753884
23C,F4,Pronóstico,210850808.42753884
23C,F5,Pronóstico,210850808.42753884
23C,F6,Pronóstico,210850808.42753884
23C,F7,Pronóstico,210850808.42753884
23C,F8,Pronóstico,215080320.14047197
23C,F9,Pronóstico,263855157.4425982
23C,F10,Pronóstico,383365106.23188883
23C,F11,Pronóstico,425660223.36122
23C,F12,Pronóstico,575047659.3478332
23C,F13,Pronóstico,599106516.6389105
23C,F14,Pronóstico,209830639.86577615
23C,F15,Pronóstico,209830639.86577615
23C,F16,Pronóstico,209830639.86577615
23C,F17,Pronóstico,209830639.86577615
23C,F18,Pronóstico,209830639.86577615
23C,F19,Pronóstico,209830639.86577615
23C,F20,Pronóstico,209830639.86577615
23C,F21,Pronóstico,218354369.43323478
23C,F22,Pronóstico,297095989.1205156
23C,F23,Pronóstico,381510254.3014112
23C,F24,Pronóstico,466747549.9759972
23C,F25,Pronóstico,572265381.4521168
23C,F26,Pronóstico,410314519.67040324
